L,c(alpha=0.5),error(alpha=0.5),c(alpha=1),error(alpha=1),c(alpha=3),error(alpha=3)
100,0.510677168262124,0.00146626307893538,0.108119597436411,0.000164789553937485,-0.000103760858787069,3.0641309002676e-06
200,0.589962864637532,0.00031943797118994,0.107968731996228,2.83329693189088e-05,-1.79234486292066e-05,7.32131860666791e-07
300,0.631467640764282,0.000113991544861192,0.1076384677661,1.78621286460179e-05,6.59975284829595e-07,1.38149342953595e-06
400,0.659694372092141,7.5898662625723e-05,0.107411032085525,7.1309784541243e-06,1.3133437894237e-05,2.422525381797e-06
500,0.681573826787405,0.000181492745305961,0.10729391189795,5.0161717359623e-06,2.55971816924769e-05,3.77783429786053e-06
600,0.701233682541662,0.000571184388653972,0.107057658622711,3.90722991992082e-06,3.94861023499907e-05,5.43838259827727e-06
