System size,EE(alpha=0.5),EE(alpha=0.7),EE(alpha=0.9),EE(alpha=1.1)
50,0.302947947108209,0.212215012938393,0.143452660537901,0.0972730267249833
100,0.36606062224667,0.244809849418268,0.153830812726722,0.0958563002868684
200,0.433188509666348,0.279126892738156,0.163924004492121,0.093901233009937
300,0.474072552167396,0.299986597450256,0.169766525160639,0.0925915173350099
400,0.503727715184293,0.315129786949175,0.173901524541691,0.0916126747737962
500,0.527089678912513,0.327065981624678,0.177108120990045,0.0908307947955446
600,0.546422496102372,0.336939147024882,0.179727615725756,0.0901791523665036
700,0.562965404552585,0.345369716286882,0.181945270151811,0.0896194608265711
