x_i(L=152),y_i(L=152),x_i(L=200),y_i(L=200),x_i(L=400),y_i(L=400)
-2.03854395440768,0.450681309211677,-2.16112003799594,0.491495592278424,-2.50453915345451,0.599147850524908
-1.7473233894923,0.364529293232248,-1.85238860399652,0.397868891625215,-2.14674784581815,0.485151978170192
-1.45610282457692,0.283741253443825,-1.5436571699971,0.30982232014228,-1.7889565381818,0.378313955794092
-1.16488225966153,0.209454558158237,-1.23492573599768,0.22863530209747,-1.43116523054544,0.279196790089202
-0.87366169474615,0.142904320283369,-0.92619430199826,0.155760703214088,-1.07337392290908,0.189716027558974
-0.582441129830766,0.0852802636765747,-0.61746286799884,0.0926653707438068,-0.715582615272718,0.112122807745308
-0.291220564915383,0.0375216167348405,-0.30873143399942,0.0405578149678733,-0.357791307636359,0.0484877651515462
0,0,0,0,0,0
0.291220564915383,-0.0277049572060388,0.30873143399942,-0.0294649565138207,0.357791307636359,-0.0338010846160744
0.582441129830766,-0.0468815328920723,0.61746286799884,-0.0493676349739976,0.715582615272718,-0.0552305468716332
0.87366169474615,-0.0593599079019476,0.92619430199826,-0.0619124618269069,1.07337392290908,-0.0676826421577162
1.16488225966153,-0.0670455460411453,1.23492573599768,-0.0693659953544049,1.43116523054544,-0.0744072346462116
1.45610282457692,-0.07157012898903,1.5436571699971,-0.0735692986633784,1.7889565381818,-0.0777943005668762
1.7473233894923,-0.0741181714417752,1.85238860399652,-0.0758264264154642,2.14674784581815,-0.0793630550315833
2.03854395440768,-0.0754732763590733,2.16112003799594,-0.0769485431861571,2.50453915345451,-0.0799854462347387
2.32976451932307,-0.0761301774023262,2.46985147199536,-0.0774327996921289,2.86233046109087,-0.0801243673857016
2.62098508423845,-0.0763941372982211,2.77858290599478,-0.0775764200588755,3.22012176872723,-0.0800346879282526
2.91220564915383,-0.076435308335155,3.0873143399942,-0.0775347248805063,3.57791307636359,-0.0798424172884745
