System size,EE(gamma=0.01),EE(gamma=0.02),EE(gamma=0.03),EE(gamma=0.04),EE(gamma=0.05),EE(gamma=0.06)
50,0.233437830375312,0.217030024827367,0.198020723427809,0.179780754531731,0.163360257744431,0.148862685240481
100,0.262053378882424,0.235958575500914,0.20948020384301,0.186263217176466,0.166536878220201,0.149812969520603
200,0.289241897903897,0.251677547450753,0.218063249210253,0.190625575239131,0.16829683118078,0.149898426295578
300,0.3041825466144,0.259464446982806,0.222030688132162,0.192491897101407,0.168917567413117,0.149738109852841
400,0.314260109171229,0.264410843406625,0.224459001374005,0.193583363636281,0.169230447600666,0.149574313031808
500,0.321749447501069,0.267941324782925,0.226150367546441,0.194319191153016,0.169418623231165,0.149427083596373
600,0.327648351775495,0.270637078695702,0.227419279625406,0.194857623315378,0.169541362606342,0.149296999068852
