alpha,MI(L=152),MI(L=200),MI(L=400)
0.95,0.0317908207650415,0.0322586284397993,0.0334710438740358
0.9525,0.031447505056602,0.0318878899035613,0.0330287005568942
0.955,0.0311068971877899,0.0315202637310792,0.0325906122155604
0.9575,0.030768999692752,0.0311557459265867,0.0321567682461275
0.96,0.0304338009259025,0.0307943200181143,0.0317271514960485
0.9625,0.0301012833202045,0.0304359689230974,0.0313017401576035
0.965,0.0297714370739791,0.0300806888208531,0.0308805222073308
0.9675,0.0294442618623486,0.0297284743090054,0.0304634812718663
0.97,0.0291197526416302,0.0293793088918969,0.0300505945132207
0.9725,0.0287978944771826,0.0290331752525568,0.0296418476730043
0.975,0.0284786713102588,0.02869006761273,0.0292372255295979
0.9775,0.0281620776373475,0.028349980964869,0.0288367047054164
0.98,0.027848111980577,0.028012899058774,0.0284402680934298
0.9825,0.0275367648973472,0.0276788040951383,0.0280479013189372
0.985,0.027228019378986,0.0273476875488002,0.027659581855382
0.9875,0.0269218618650836,0.0270195443440276,0.0272752890452393
0.99,0.0266182891155796,0.02669436043187,0.0268950083179886
0.9925,0.0263172967179456,0.0263721168720784,0.0265187192247497
0.995,0.0260188726439006,0.0260528017153653,0.0261463982062476
0.9975,0.0257229998018436,0.0257364098862407,0.025778028653456
1,0.0254296662965541,0.0254229295219772,0.0254135925015901
1.0025,0.025138868022909,0.0251123418769731,0.025053065664
1.005,0.0248506005879262,0.0248046315677193,0.0246964275155791
1.0075,0.0245648489997116,0.0244997910424847,0.0243436612161962
1.01,0.0242815966156439,0.024197811369741,0.0239947445435347
1.0125,0.02400083243871,0.023898675785401,0.0236496533156227
1.015,0.0237225516572493,0.0236023659327866,0.0233083689960592
1.0175,0.0234467470670195,0.0233088702113441,0.0229708720484014
1.02,0.0231734056710346,0.0230181806163542,0.0226371378957485
1.0225,0.0229025101719971,0.0227302847284585,0.0223071437981812
1.025,0.0226340484089313,0.0224451629922198,0.021980871073257
1.0275,0.0223680144485187,0.0221627994600989,0.0216582975121051
1.03,0.0221044015011279,0.0218831840099137,0.0213393979015089
1.0325,0.0218431960895441,0.0216063070564484,0.0210241503232373
1.035,0.0215843817713806,0.021332152474387,0.0207125351431587
1.0375,0.0213279449119727,0.0210607012913658,0.0204045281460307
1.04,0.0210738776010386,0.0207919387439632,0.0201001042148531
1.0425,0.0208221728259818,0.0205258551346078,0.0197992415749705
1.045,0.0205728188604695,0.0202624380660774,0.0195019190977695
1.0475,0.0203257998250883,0.0200016707485575,0.0192081118082591
1.05,0.0200810995725547,0.0197435345084081,0.0189177944732035
