L,c(gamma=0.01),error(gamma=0.01),c(gamma=0.13),error(gamma=0.13),c(gamma=1.5),error(gamma=1.5)
100,0.648931350580007,0.00159376605883538,0.213953008189531,0.000987697322904407,0.00629534094297036,0.000133646541407422
200,0.69629993265207,0.000303479556639702,0.21895566327954,0.00022713986838846,0.0071531094890148,2.21547700892271e-05
300,0.713232329029567,0.000138963933290492,0.219761797696642,0.000100617137491182,0.00721043942728407,9.24855085784708e-06
400,0.722315586699302,7.2357715799054e-05,0.220015443466898,5.61153963425237e-05,0.00721301797963258,5.08072457499091e-06
500,0.728054056562277,4.33777981844186e-05,0.220124457912991,3.62876040357479e-05,0.00720652672893003,3.2187787560767e-06
600,0.732073217844882,3.23903362945965e-05,0.220180874590516,2.55876475352551e-05,0.0071986567585402,2.21143939015253e-06
