x_i(L=152),y_i(L=152),x_i(L=200),y_i(L=200),x_i(L=400),y_i(L=400)
-0.133485553755094,0.368242832902999,-0.134350508197063,0.383005260238908,-0.136560167016352,0.41075741609752
-0.122230448042185,0.272835249871774,-0.123022472092758,0.279715790867588,-0.125045819038582,0.292267043608439
-0.110975342329277,0.210446538501443,-0.111694435988452,0.21450140695855,-0.113531471060812,0.221844112182433
-0.0997202366163685,0.165606856427007,-0.100366399884147,0.168252201710639,-0.102017123083042,0.173027245559731
-0.0884651309034601,0.131251429420492,-0.0890383637798413,0.133066936499914,-0.0905027751052718,0.136337167830647
-0.0772100251905517,0.103788677065409,-0.0777103276755358,0.105064777004046,-0.0789884271275019,0.1073596113997
-0.0659549194776433,0.0811725183442976,-0.0663822915712303,0.0820753174417547,-0.0674740791497319,0.0836962281495275
-0.0546998137647349,0.0621379753440887,-0.0550542554669248,0.0627702222969402,-0.055959731171962,0.063904623464195
-0.0434447080518265,0.0458492436367334,-0.0437262193626193,0.0462801987052528,-0.044445383194192,0.0470520709795745
-0.0321896023389181,0.0317282161916852,-0.0323981832583137,0.0320054015321234,-0.0329310352164221,0.0325013850991475
-0.0209344966260096,0.0193581959479622,-0.0210701471540082,0.0195162852613923,-0.0214166872386521,0.0197986094600353
-0.00967939091310123,0.00842899191899746,-0.00974211104970273,0.00849356528083203,-0.00990233926088215,0.00860873830969711
0,0,0,0,0,0
0.00157571479980719,-0.00129639146034013,0.00158592505460279,-0.00130579105464274,0.00161200871688781,-0.00132243916854183
0.0128308205127156,-0.0100031976029845,0.0129139611589083,-0.0100712478285995,0.0131263566946578,-0.010192485326559
0.024085926225624,-0.0178387140544362,0.0242419972632138,-0.0179535329743192,0.0246407046724277,-0.018158000626212
0.0353410319385324,-0.0249224748355794,0.0355700333675193,-0.025074649332093,0.0361550526501977,-0.0253451136343973
0.0465961376514409,-0.0313523209118059,0.0468980694718248,-0.0315341428763267,0.0476694006279676,-0.0318570623440646
0.0578512433643492,-0.0372096325951538,0.0582261055761303,-0.0374150572193656,0.0591837486057376,-0.0377793182392369
0.0691063490772577,-0.042562811530859,0.0695541416804358,-0.0427867336639845,0.0706980965835075,-0.043183358423799
0.0803614547901661,-0.0474696143886981,0.0808821777847413,-0.0477079707699735,0.0822124445612775,-0.0481296884113543
