System size,EE(gamma=0.5),EE(gamma=0.7),EE(gamma=0.9),EE(gamma=1.1)
50,0.302947947108209,0.282656195813538,0.26322806275717,0.245401847726368
100,0.36606062224667,0.344233243520189,0.323235663968986,0.303874106267496
200,0.433188509666348,0.41002423832893,0.387655736945207,0.366954179137704
300,0.474072552167396,0.450212458265555,0.427133718923168,0.405734725713237
400,0.503727715184293,0.479408694405346,0.455862367061942,0.434004156955955
500,0.527089678912513,0.502414512120481,0.478527624954124,0.456332829721492
600,0.546422496102372,0.521430647885808,0.497279309620284,0.474822558271656
700,0.562965404552585,0.537655416587083,0.513288200157177,0.490619851729057
