System size,EE(alpha=0),EE(alpha=0.2),EE(alpha=0.4),EE(alpha=0.6),EE(alpha=0.8),EE(alpha=1)
50,0.54313125632539,0.460229763295879,0.366996848694538,0.275203160680911,0.195848209782305,0.135542939742899
100,0.592941849349099,0.519235942565333,0.422559805384932,0.314332389117098,0.214181698015188,0.137886169810769
200,0.619332773740061,0.557236111838554,0.466411709699442,0.350168275628822,0.231701504727812,0.139413994805654
300,0.628375150810082,0.571993276434793,0.486356224007886,0.368985600107357,0.241505445501995,0.140021417510517
400,0.633024859727211,0.579996404966038,0.498187026793563,0.381242406116882,0.248239413094878,0.140342631767193
500,0.635487928305792,0.585075430090443,0.506175731467142,0.390103128438527,0.253325919760509,0.140540056710503
600,0.637505838282685,0.588611217012852,0.512005752619027,0.39692141745093,0.257388544706812,0.140669325555048
